Name,Gender,Grade,Math,Science,English,Total
'Navya',male,11,47.0,63.0,74.0,184
ROHAN,F,Grade 3,16.0,77,8,101
'Aditi',0,Grade 11,28 marks,43 marks,46.0,117
Myra,Male,7,74,12.0,72,158
ISHAAN,male,03,92 marks,27,25.0,144
"""Aarav""",  M  ,Grade 9,22 marks,87,56,165
Aditi,m,Grade 1,26 marks,22,20,68
Saanvi,Female,Grade 3,57,56.0,91,204
"""Anika""",1,10,45,5,48 marks,98
Krishna,M,Grade 12,12 marks,64 marks,75.0,151
MYRA,  F  ,05,99.0,95.0,75.0,269
"""Advika""",F,5,91 marks,70 marks,21.0,182
"""Anika""",  F  ,Grade 12,41.0,13.0,97 marks,151
Shaurya,M,3,79 marks,80,32.0,191
Ananya,f,Grade 5,3 marks,48 marks,49.0,100
Shaurya,female,Grade 3,46 marks,51,89,186
'Zara',female,Grade 4,64,45 marks,41.0,150
KABIR,f,10,77.0,31.0,75.0,183
ISHAAN,1,7,68.0,34 marks,72,174
"""Anika""",male,Grade 5,35.0,97.0,73,205
"""Aditi""",  F  ,06,48 marks,52.0,38.0,138
Zara,f,09,29 marks,38 marks,21,88
"""Advika""",Female,Grade 10,26.0,43.0,30,99
Arjun,Female,Grade 8,17,30 marks,15,62
ARYAN,m,Grade 7,25.0,22 marks,72 marks,119
"""Ananya""",F,Grade 4,51 marks,35.0,21,107
"""Arjun""",1,9,3,16,34.0,53
"""Arjun""",  F  ,04,11 marks,11 marks,61.0,83
'Anika',f,01,24 marks,95.0,40 marks,159
AARAV,f,Grade 10,71 marks,34 marks,60,165
'Zara',1,Grade 1,74 marks,69 marks,51,194
Kabir,male,8,18,36 marks,45,99
VIHAAN,  F  ,Grade 4,63,11.0,1 marks,75
Ananya,F,Grade 10,14.0,70,18.0,102
REYANSH,male,10,69,37,27 marks,133
SHAURYA,0,01,19,66.0,93,178
Kabir,  F  ,Grade 8,62,90,43,195
Myra,Female,03,74,97 marks,70 marks,241
"""Kabir""",M,10,49,75.0,66.0,190
AARAV,  M  ,6,22.0,30 marks,79.0,131
'Shaurya',  M  ,06,84,72,19.0,175
DIYA,Male,06,47 marks,54.0,15.0,116
'Anika',Male,12,36.0,85 marks,71.0,192
'Reyansh',male,02,64 marks,37,53 marks,154
"""Rohan""",  F  ,8,61.0,10.0,69 marks,140
"""Kabir""",  F  ,Grade 6,17,15,38 marks,70
'Reyansh',0,07,8,83 marks,50,141
'Diya',Male,Grade 7,1 marks,92.0,95.0,188
"""Vihaan""",Male,02,4.0,57,25.0,86
SAANVI,  F  ,Grade 8,37 marks,61,45.0,143
Reyansh,M,04,30,55,82.0,167
"""Advika""",  F  ,Grade 8,37,38,91 marks,166
'Aryan',0,6,78 marks,21.0,2 marks,101
'Reyansh',Female,08,26.0,12.0,13.0,51
Isha,Female,Grade 10,68,73.0,46 marks,187
"""Kabir""",Male,Grade 1,27,1 marks,93 marks,121
Advika,m,6,11,85 marks,68 marks,164
Advika,male,10,69,66 marks,95,230
AARAV,  F  ,2,26.0,6.0,57,89
"""Ishaan""",F,Grade 5,80.0,82.0,42,204
NAVYA,  M  ,12,75.0,22 marks,86 marks,183
'Diya',male,Grade 4,87,46,20.0,153
'Saanvi',0,Grade 10,64.0,64,19,147
Saanvi,Female,3,99.0,4,71,174
Anika,male,Grade 1,15 marks,10,59,84
'Myra',1,11,41 marks,51.0,43 marks,135
'Arjun',1,Grade 2,31.0,90 marks,34 marks,155
Aditi,  F  ,Grade 12,78.0,21 marks,89,188
'Aarav',  M  ,05,70.0,82 marks,53 marks,205
REYANSH,female,02,77 marks,61 marks,82,220
AARAV,  M  ,11,30.0,37.0,39.0,106
Rohan,m,Grade 7,28,84.0,77,189
"""Vihaan""",M,10,44 marks,13,80.0,137
ISHAAN,Male,3,59,3,32 marks,94
"""Zara""",Female,Grade 10,74 marks,6 marks,17.0,97
Ananya,F,09,36,47 marks,30 marks,113
Shaurya,Female,8,60.0,33.0,7 marks,100
"""Ishaan""",Male,06,38 marks,60,65,163
Aarav,Male,09,44.0,18 marks,18 marks,80
MYRA,Male,12,7 marks,62 marks,55,124
KRISHNA,female,Grade 3,95.0,38,80.0,213
Aryan,m,03,84,51,76,211
"""Aditi""",m,1,86 marks,81 marks,89.0,256
"""Vihaan""",  M  ,06,5,18.0,86,109
Advika,Female,01,25 marks,70,73,168
"""Advika""",Male,5,37.0,60 marks,77.0,174
NAVYA,F,1,70.0,81,50.0,201
"""Rohan""",M,8,44,14 marks,96 marks,154
"""Reyansh""",Male,1,60,23.0,54,137
ADVIKA,F,01,84.0,13.0,53.0,150
'Aryan',M,Grade 9,98,43,100 marks,241
'Rohan',m,Grade 12,13 marks,97 marks,30.0,140
'Kabir',1,4,11.0,31 marks,8 marks,50
"""Rohan""",female,Grade 10,71.0,55.0,46 marks,172
DIYA,Female,8,14.0,73,50.0,137
"""Reyansh""",0,1,32,45,1 marks,78
VIHAAN,female,09,98 marks,55.0,98.0,251
Krishna,Female,9,87.0,94 marks,30.0,211
'Shaurya',0,06,72.0,14,33,119
'Shaurya',f,4,71 marks,99 marks,83.0,253
ADITI,0,6,25 marks,64 marks,17.0,106
'Ananya',  M  ,02,72 marks,8,29.0,109
'Rohan',F,12,66.0,70 marks,14,150
"""Reyansh""",male,Grade 9,87.0,80.0,8.0,175
Ananya,female,Grade 11,18 marks,91,50 marks,159
'Krishna',m,08,88 marks,22.0,51 marks,161
SHAURYA,f,Grade 4,38.0,48,97,183
'Shaurya',m,Grade 9,35.0,95.0,13 marks,143
Aryan,female,6,0.0,9 marks,92 marks,101
ROHAN,  F  ,Grade 12,85 marks,44,30,159
'Reyansh',m,1,44 marks,20.0,35 marks,99
ISHA,female,Grade 2,57 marks,56,54.0,167
Ishaan,1,2,63 marks,25.0,61,149
"""Vihaan""",f,Grade 12,95.0,76 marks,96.0,267
ARYAN,Male,Grade 11,6,37 marks,72 marks,115
'Advika',m,8,27,5.0,29 marks,61
'Ishaan',F,1,88 marks,62,27,177
Advika,m,06,7 marks,10.0,13,30
MYRA,  M  ,12,63 marks,48 marks,94 marks,205
NAVYA,M,Grade 1,47 marks,68 marks,57.0,172
"""Aryan""",M,6,37 marks,39,51 marks,127
REYANSH,F,Grade 3,90,73 marks,95.0,258
"""Shaurya""",M,12,40 marks,73.0,47.0,160
Myra,0,8,43.0,73.0,21.0,137
Saanvi,Male,12,93,60 marks,55 marks,208
ROHAN,0,08,75.0,72 marks,93.0,240
Saanvi,Male,Grade 9,48 marks,31.0,10 marks,89
"""Diya""",male,11,100,35 marks,40 marks,175
"""Navya""",M,11,3 marks,28.0,49.0,80
'Advika',female,01,48 marks,31.0,60 marks,139
Anika,0,10,78.0,59 marks,85.0,222
KRISHNA,1,03,46,13 marks,8,67
"""Reyansh""",Male,4,53.0,68,59 marks,180
Advika,m,10,66,53 marks,19,138
Ishaan,M,Grade 8,73.0,66.0,72.0,211
ZARA,  M  ,05,27 marks,52,74 marks,153
Aryan,  M  ,10,77,21 marks,86.0,184
"""Isha""",m,2,92.0,100 marks,24,216
Shaurya,male,05,67 marks,44 marks,86,197
'Shaurya',male,6,48,2 marks,78 marks,128
'Reyansh',f,3,32.0,10,65.0,107
"""Isha""",  F  ,Grade 1,30,34,42 marks,106
SHAURYA,0,Grade 9,88,16 marks,69,173
NAVYA,m,07,51 marks,78.0,89.0,218
ADVIKA,1,Grade 5,87.0,75 marks,27,189
Zara,Female,6,87,55,4 marks,146
Rohan,  F  ,3,42,59 marks,3 marks,104
Advika,  F  ,Grade 9,35.0,11 marks,8 marks,54
Vihaan,m,Grade 2,4,9.0,17.0,30
"""Isha""",0,Grade 4,60 marks,48.0,4,112
SAANVI,1,Grade 2,54,30 marks,96 marks,180
ISHA,  F  ,Grade 6,81,27.0,53.0,161
'Ishaan',Female,5,14,24,84.0,122
'Navya',f,1,88.0,82.0,28,198
Shaurya,F,6,78,71,13.0,162
Ananya,f,2,26.0,15.0,20.0,61
Aryan,  F  ,05,1 marks,47.0,74,122
"""Isha""",  F  ,04,39.0,37 marks,32 marks,108
'Zara',  F  ,Grade 6,55 marks,100,82.0,237
Navya,m,1,52.0,85.0,89 marks,226
NAVYA,  M  ,11,24,82.0,85 marks,191
Isha,f,07,27 marks,61.0,31,119
